Rolling Stock,Length,Width,Height,Platform Height,Door Count (per side),Door Width,Count
R44 / R46 / R68 / R68A,74.71,10,12.08,3.76,8 (4),4.17,1434
R62 / R62A,51.04,8.6,11.89,3.65,6 (3),4.17,1139
R142 / R142A / R188,51.33,8.6,11.89,3.65,6 (3),4.5,1751
R143 / R160,60.21,9.77,12.13,3.76,8 (4),4.17,1874
R179,60.5,9.88,11.14,3.73,8 (4),4.17,318
R211A,60.21,10,12,3.76,8 (4),4.83,0
